date,covid-19_unscaled,covid-19_monthly,isPartial,scale,covid-19
2020-02-23,38,4.0,False,0.04,1.52
2020-02-24,47,4.0,,0.04,1.8800000000000001
2020-02-25,63,4.0,,0.04,2.52
2020-02-26,62,4.0,,0.04,2.48
2020-02-27,59,4.0,,0.04,2.36
2020-02-28,100,4.0,,0.04,4.0
2020-02-29,62,4.0,,0.04,2.48
2020-03-01,12,6.0,False,0.06,0.72
2020-03-02,18,6.0,,0.06,1.08
2020-03-03,16,6.0,,0.06,0.96
2020-03-04,15,6.0,,0.06,0.8999999999999999
2020-03-05,13,6.0,,0.06,0.78
2020-03-06,16,6.0,,0.06,0.96
2020-03-07,19,6.0,,0.06,1.14
2020-03-08,21,19.0,False,0.19,3.99
2020-03-09,26,19.0,,0.19,4.94
2020-03-10,26,19.0,,0.19,4.94
2020-03-11,29,19.0,,0.19,5.51
2020-03-12,57,19.0,,0.19,10.83
2020-03-13,76,19.0,,0.19,14.44
2020-03-14,75,19.0,,0.19,14.25
2020-03-15,81,45.0,False,0.45,36.45
2020-03-16,100,45.0,,0.45,45.0
2020-03-17,94,45.0,,0.45,42.300000000000004
2020-03-18,94,45.0,,0.45,42.300000000000004
2020-03-19,84,45.0,,0.45,37.800000000000004
2020-03-20,88,45.0,,0.45,39.6
2020-03-21,82,45.0,,0.45,36.9
2020-03-22,74,36.0,False,0.36,26.64
2020-03-23,76,36.0,,0.36,27.36
2020-03-24,76,36.0,,0.36,27.36
2020-03-25,79,36.0,,0.36,28.439999999999998
2020-03-26,94,36.0,,0.36,33.839999999999996
2020-03-27,100,36.0,,0.36,36.0
2020-03-28,74,36.0,,0.36,26.64
2020-03-29,72,30.0,False,0.3,21.599999999999998
2020-03-30,68,30.0,,0.3,20.4
2020-03-31,71,30.0,,0.3,21.3
2020-04-01,86,30.0,,0.3,25.8
2020-04-02,100,30.0,,0.3,30.0
2020-04-03,92,30.0,,0.3,27.599999999999998
2020-04-04,73,30.0,,0.3,21.9
2020-04-05,86,28.0,False,0.28,24.080000000000002
2020-04-06,93,28.0,,0.28,26.040000000000003
2020-04-07,89,28.0,,0.28,24.92
2020-04-08,79,28.0,,0.28,22.12
2020-04-09,84,28.0,,0.28,23.520000000000003
2020-04-10,70,28.0,,0.28,19.6
2020-04-11,75,28.0,,0.28,21.000000000000004
2020-04-12,69,25.0,False,0.25,17.25
2020-04-13,71,25.0,,0.25,17.75
2020-04-14,79,25.0,,0.25,19.75
2020-04-15,77,25.0,,0.25,19.25
2020-04-16,72,25.0,,0.25,18.0
2020-04-17,74,25.0,,0.25,18.5
2020-04-18,73,25.0,,0.25,18.25
2020-04-19,68,25.0,False,0.25,17.0
2020-04-20,68,25.0,,0.25,17.0
2020-04-21,70,25.0,,0.25,17.5
2020-04-22,74,25.0,,0.25,18.5
2020-04-23,68,25.0,,0.25,17.0
2020-04-24,69,25.0,,0.25,17.25
2020-04-25,63,25.0,,0.25,15.75
2020-04-26,58,24.0,False,0.24,13.92
2020-04-27,69,24.0,,0.24,16.56
2020-04-28,77,24.0,,0.24,18.48
2020-04-29,77,24.0,,0.24,18.48
2020-04-30,64,24.0,,0.24,15.36
2020-05-01,81,24.0,,0.24,19.439999999999998
2020-05-02,88,24.0,,0.24,21.119999999999997
2020-05-03,84,23.0,False,0.23,19.32
2020-05-04,85,23.0,,0.23,19.55
2020-05-05,77,23.0,,0.23,17.71
2020-05-06,78,23.0,,0.23,17.94
2020-05-07,100,23.0,,0.23,23.0
2020-05-08,80,23.0,,0.23,18.400000000000002
2020-05-09,83,23.0,,0.23,19.09
2020-05-10,82,21.0,False,0.21,17.22
2020-05-11,77,21.0,,0.21,16.169999999999998
2020-05-12,79,21.0,,0.21,16.59
2020-05-13,82,21.0,,0.21,17.22
2020-05-14,76,21.0,,0.21,15.959999999999999
2020-05-15,70,21.0,,0.21,14.7
2020-05-16,78,21.0,,0.21,16.38
2020-05-17,70,19.0,False,0.19,13.3
2020-05-18,73,19.0,,0.19,13.870000000000001
2020-05-19,70,19.0,,0.19,13.3
2020-05-20,72,19.0,,0.19,13.68
2020-05-21,78,19.0,,0.19,14.82
2020-05-22,69,19.0,,0.19,13.11
2020-05-23,70,19.0,,0.19,13.3
2020-05-24,67,17.0,False,0.17,11.39
2020-05-25,68,17.0,,0.17,11.56
2020-05-26,64,17.0,,0.17,10.88
2020-05-27,59,17.0,,0.17,10.030000000000001
2020-05-28,63,17.0,,0.17,10.71
2020-05-29,59,17.0,,0.17,10.030000000000001
2020-05-30,68,17.0,,0.17,11.56
2020-05-31,64,16.0,False,0.16,10.24
2020-06-01,61,16.0,,0.16,9.76
2020-06-02,59,16.0,,0.16,9.44
2020-06-03,66,16.0,,0.16,10.56
2020-06-04,56,16.0,,0.16,8.96
2020-06-05,53,16.0,,0.16,8.48
2020-06-06,63,16.0,,0.16,10.08
2020-06-07,57,18.0,False,0.18,10.26
2020-06-08,57,18.0,,0.18,10.26
2020-06-09,53,18.0,,0.18,9.54
2020-06-10,59,18.0,,0.18,10.62
2020-06-11,57,18.0,,0.18,10.26
2020-06-12,60,18.0,,0.18,10.799999999999999
2020-06-13,68,18.0,,0.18,12.24
2020-06-14,62,19.0,False,0.19,11.78
2020-06-15,57,19.0,,0.19,10.83
2020-06-16,55,19.0,,0.19,10.45
2020-06-17,64,19.0,,0.19,12.16
2020-06-18,58,19.0,,0.19,11.02
2020-06-19,62,19.0,,0.19,11.78
2020-06-20,77,19.0,,0.19,14.63
2020-06-21,89,25.0,False,0.25,22.25
2020-06-22,100,25.0,,0.25,25.0
2020-06-23,88,25.0,,0.25,22.0
2020-06-24,93,25.0,,0.25,23.25
2020-06-25,78,25.0,,0.25,19.5
2020-06-26,84,25.0,,0.25,21.0
2020-06-27,86,25.0,,0.25,21.5
2020-06-28,76,23.0,False,0.23,17.48
2020-06-29,80,23.0,,0.23,18.400000000000002
2020-06-30,89,23.0,,0.23,20.470000000000002
2020-07-01,54,23.0,,0.23,12.42
2020-07-02,55,23.0,,0.23,12.65
2020-07-03,47,23.0,,0.23,10.81
2020-07-04,63,23.0,,0.23,14.49
2020-07-05,68,27.0,False,0.27,18.36
2020-07-06,54,27.0,,0.27,14.580000000000002
2020-07-07,56,27.0,,0.27,15.120000000000001
2020-07-08,62,27.0,,0.27,16.740000000000002
2020-07-09,60,27.0,,0.27,16.200000000000003
2020-07-10,67,27.0,,0.27,18.09
2020-07-11,71,27.0,,0.27,19.17
2020-07-12,75,34.0,False,0.34,25.500000000000004
2020-07-13,70,34.0,,0.34,23.8
2020-07-14,72,34.0,,0.34,24.48
2020-07-15,67,34.0,,0.34,22.78
2020-07-16,86,34.0,,0.34,29.240000000000002
2020-07-17,96,34.0,,0.34,32.64
2020-07-18,100,34.0,,0.34,34.0
2020-07-19,84,33.0,False,0.33,27.720000000000002
2020-07-20,90,33.0,,0.33,29.700000000000003
2020-07-21,82,33.0,,0.33,27.060000000000002
2020-07-22,73,33.0,,0.33,24.09
2020-07-23,80,33.0,,0.33,26.400000000000002
2020-07-24,91,33.0,,0.33,30.03
2020-07-25,88,33.0,,0.33,29.040000000000003
2020-07-26,92,31.0,False,0.31,28.52
2020-07-27,96,31.0,,0.31,29.759999999999998
2020-07-28,85,31.0,,0.31,26.35
2020-07-29,78,31.0,,0.31,24.18
2020-07-30,83,31.0,,0.31,25.73
2020-07-31,82,31.0,,0.31,25.419999999999998
2020-08-01,6,31.0,,0.31,1.8599999999999999
2020-08-02,7,100.0,False,1.0,7.0
2020-08-03,7,100.0,,1.0,7.0
2020-08-04,8,100.0,,1.0,8.0
2020-08-05,100,100.0,,1.0,100.0
2020-08-06,8,100.0,,1.0,8.0
2020-08-07,6,100.0,,1.0,6.0
2020-08-08,6,100.0,,1.0,6.0
2020-08-09,5,24.0,False,0.24,1.2
2020-08-10,5,24.0,,0.24,1.2
2020-08-11,5,24.0,,0.24,1.2
2020-08-12,5,24.0,,0.24,1.2
2020-08-13,5,24.0,,0.24,1.2
2020-08-14,5,24.0,,0.24,1.2
2020-08-15,6,24.0,,0.24,1.44
2020-08-16,5,23.0,False,0.23,1.1500000000000001
2020-08-17,5,23.0,,0.23,1.1500000000000001
2020-08-18,5,23.0,,0.23,1.1500000000000001
2020-08-19,5,23.0,,0.23,1.1500000000000001
2020-08-20,5,23.0,,0.23,1.1500000000000001
2020-08-21,5,23.0,,0.23,1.1500000000000001
2020-08-22,5,23.0,,0.23,1.1500000000000001
2020-08-23,4,22.0,False,0.22,0.88
2020-08-24,4,22.0,,0.22,0.88
2020-08-25,4,22.0,,0.22,0.88
2020-08-26,4,22.0,,0.22,0.88
2020-08-27,4,22.0,,0.22,0.88
2020-08-28,5,22.0,,0.22,1.1
2020-08-29,5,22.0,,0.22,1.1
2020-08-30,5,28.0,False,0.28,1.4000000000000001
2020-08-31,6,28.0,,0.28,1.6800000000000002
2020-09-01,61,28.0,,0.28,17.080000000000002
2020-09-02,60,28.0,,0.28,16.8
2020-09-03,59,28.0,,0.28,16.520000000000003
2020-09-04,67,28.0,,0.28,18.76
2020-09-05,62,28.0,,0.28,17.360000000000003
2020-09-06,70,32.0,False,0.32,22.400000000000002
2020-09-07,73,32.0,,0.32,23.36
2020-09-08,70,32.0,,0.32,22.400000000000002
2020-09-09,79,32.0,,0.32,25.28
2020-09-10,81,32.0,,0.32,25.92
2020-09-11,100,32.0,,0.32,32.0
2020-09-12,83,32.0,,0.32,26.560000000000002
2020-09-13,73,32.0,False,0.32,23.36
2020-09-14,78,32.0,,0.32,24.96
2020-09-15,71,32.0,,0.32,22.72
2020-09-16,68,32.0,,0.32,21.76
2020-09-17,72,32.0,,0.32,23.04
2020-09-18,62,32.0,,0.32,19.84
2020-09-19,62,32.0,,0.32,19.84
2020-09-20,58,31.0,False,0.31,17.98
2020-09-21,70,31.0,,0.31,21.7
2020-09-22,55,31.0,,0.31,17.05
2020-09-23,81,31.0,,0.31,25.11
2020-09-24,94,31.0,,0.31,29.14
2020-09-25,68,31.0,,0.31,21.08
2020-09-26,69,31.0,,0.31,21.39
2020-09-27,60,25.0,False,0.25,15.0
2020-09-28,61,25.0,,0.25,15.25
2020-09-29,65,25.0,,0.25,16.25
2020-09-30,58,25.0,,0.25,14.5
2020-10-01,65,25.0,,0.25,16.25
2020-10-02,40,25.0,,0.25,10.0
2020-10-03,39,25.0,,0.25,9.75
2020-10-04,46,18.0,False,0.18,8.28
2020-10-05,40,18.0,,0.18,7.199999999999999
2020-10-06,38,18.0,,0.18,6.84
2020-10-07,40,18.0,,0.18,7.199999999999999
2020-10-08,47,18.0,,0.18,8.459999999999999
2020-10-09,39,18.0,,0.18,7.02
2020-10-10,40,18.0,,0.18,7.199999999999999
2020-10-11,40,21.0,False,0.21,8.4
2020-10-12,55,21.0,,0.21,11.549999999999999
2020-10-13,48,21.0,,0.21,10.08
2020-10-14,55,21.0,,0.21,11.549999999999999
2020-10-15,49,21.0,,0.21,10.29
2020-10-16,49,21.0,,0.21,10.29
2020-10-17,50,21.0,,0.21,10.5
2020-10-18,50,25.0,False,0.25,12.5
2020-10-19,49,25.0,,0.25,12.25
2020-10-20,52,25.0,,0.25,13.0
2020-10-21,56,25.0,,0.25,14.0
2020-10-22,75,25.0,,0.25,18.75
2020-10-23,58,25.0,,0.25,14.5
2020-10-24,60,25.0,,0.25,15.0
2020-10-25,62,39.0,False,0.39,24.18
2020-10-26,82,39.0,,0.39,31.98
2020-10-27,89,39.0,,0.39,34.71
2020-10-28,82,39.0,,0.39,31.98
2020-10-29,88,39.0,,0.39,34.32
2020-10-30,100,39.0,,0.39,39.0
2020-10-31,96,39.0,,0.39,37.44
2020-11-01,99,35.0,False,0.35,34.65
2020-11-02,100,35.0,,0.35,35.0
2020-11-03,86,35.0,,0.35,30.099999999999998
2020-11-04,79,35.0,,0.35,27.65
2020-11-05,87,35.0,,0.35,30.45
2020-11-06,84,35.0,,0.35,29.4
2020-11-07,86,35.0,,0.35,30.099999999999998
2020-11-08,88,30.0,False,0.3,26.4
2020-11-09,80,30.0,,0.3,24.0
2020-11-10,79,30.0,,0.3,23.7
2020-11-11,68,30.0,,0.3,20.4
2020-11-12,81,30.0,,0.3,24.3
2020-11-13,63,30.0,,0.3,18.9
2020-11-14,67,30.0,,0.3,20.099999999999998
2020-11-15,61,23.0,False,0.23,14.030000000000001
2020-11-16,58,23.0,,0.23,13.34
2020-11-17,64,23.0,,0.23,14.72
2020-11-18,63,23.0,,0.23,14.49
2020-11-19,56,23.0,,0.23,12.88
2020-11-20,59,23.0,,0.23,13.57
2020-11-21,56,23.0,,0.23,12.88
2020-11-22,53,23.0,False,0.23,12.190000000000001
2020-11-23,50,23.0,,0.23,11.5
2020-11-24,54,23.0,,0.23,12.42
2020-11-25,48,23.0,,0.23,11.040000000000001
2020-11-26,49,23.0,,0.23,11.270000000000001
2020-11-27,52,23.0,,0.23,11.96
2020-11-28,61,23.0,,0.23,14.030000000000001
2020-11-29,54,18.0,False,0.18,9.719999999999999
2020-11-30,53,18.0,,0.18,9.54
2020-12-01,81,18.0,,0.18,14.58
2020-12-02,76,18.0,,0.18,13.68
2020-12-03,79,18.0,,0.18,14.219999999999999
2020-12-04,74,18.0,,0.18,13.32
2020-12-05,85,18.0,,0.18,15.299999999999999
2020-12-06,67,18.0,False,0.18,12.059999999999999
2020-12-07,76,18.0,,0.18,13.68
2020-12-08,84,18.0,,0.18,15.12
2020-12-09,94,18.0,,0.18,16.919999999999998
2020-12-10,97,18.0,,0.18,17.46
2020-12-11,74,18.0,,0.18,13.32
2020-12-12,80,18.0,,0.18,14.399999999999999
2020-12-13,69,16.0,False,0.16,11.040000000000001
2020-12-14,72,16.0,,0.16,11.52
2020-12-15,75,16.0,,0.16,12.0
2020-12-16,65,16.0,,0.16,10.4
2020-12-17,71,16.0,,0.16,11.36
2020-12-18,66,16.0,,0.16,10.56
2020-12-19,74,16.0,,0.16,11.84
2020-12-20,79,17.0,False,0.17,13.430000000000001
2020-12-21,71,17.0,,0.17,12.07
2020-12-22,82,17.0,,0.17,13.940000000000001
2020-12-23,71,17.0,,0.17,12.07
2020-12-24,63,17.0,,0.17,10.71
2020-12-25,80,17.0,,0.17,13.600000000000001
2020-12-26,81,17.0,,0.17,13.770000000000001
2020-12-27,88,17.0,False,0.17,14.96
2020-12-28,79,17.0,,0.17,13.430000000000001
2020-12-29,100,17.0,,0.17,17.0
2020-12-30,72,17.0,,0.17,12.24
2020-12-31,63,17.0,,0.17,10.71
2021-01-01,63,17.0,,0.17,10.71
2021-01-02,60,17.0,,0.17,10.200000000000001
2021-01-03,66,20.0,False,0.2,13.200000000000001
2021-01-04,63,20.0,,0.2,12.600000000000001
2021-01-05,58,20.0,,0.2,11.600000000000001
2021-01-06,72,20.0,,0.2,14.4
2021-01-07,77,20.0,,0.2,15.4
2021-01-08,62,20.0,,0.2,12.4
2021-01-09,57,20.0,,0.2,11.4
2021-01-10,74,22.0,False,0.22,16.28
2021-01-11,72,22.0,,0.22,15.84
2021-01-12,82,22.0,,0.22,18.04
2021-01-13,63,22.0,,0.22,13.86
2021-01-14,84,22.0,,0.22,18.48
2021-01-15,94,22.0,,0.22,20.68
2021-01-16,79,22.0,,0.22,17.38
2021-01-17,79,21.0,False,0.21,16.59
2021-01-18,100,21.0,,0.21,21.0
2021-01-19,80,21.0,,0.21,16.8
2021-01-20,66,21.0,,0.21,13.86
2021-01-21,65,21.0,,0.21,13.65
2021-01-22,65,21.0,,0.21,13.65
2021-01-23,65,21.0,,0.21,13.65
2021-01-24,71,20.0,False,0.2,14.200000000000001
2021-01-25,78,20.0,,0.2,15.600000000000001
2021-01-26,71,20.0,,0.2,14.200000000000001
2021-01-27,67,20.0,,0.2,13.4
2021-01-28,67,20.0,,0.2,13.4
2021-01-29,71,20.0,,0.2,14.200000000000001
2021-01-30,55,20.0,,0.2,11.0
2021-01-31,55,17.0,False,0.17,9.350000000000001
